Brand;Year;Model;Used or New;Transmission;Cylinder.Enginer;Cylinder.Engine2;Liters.Engine;Liters.Engine2;Engine2;Drive Type;Fuel Type;Kilometres;Location;Country;Body Type;Doors;Doors2;Seats;Seats2;Price
Honda;2021;CR-V;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;18685;Ravenhall, VIC;Asia;SUV;4; 4 Doors;5; 5 Seats;39990
MG;2021;MG3;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Premium;26196;Nundah, QLD;Europe;Hatchback;5; 5 Doors;5; 5 Seats;16990
MG;2021;HS;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;35229;Toowoomba, QLD;Europe;SUV;4; 4 Doors;5; 5 Seats;24990
Suzuki;2021;Swift;USED;Automatic;4;4 cyl;1.2;1.2 L;4 cyl, 1.2 L;Front;Unleaded;52424;Oakleigh, VIC;Asia;Hatchback;5; 5 Doors;5; 5 Seats;23800
Nissan;2021;Leaf;USED;Automatic;0;0 L;0;0 L;0 L;Front;Electric;22703;Ravenhall, VIC;Asia;Hatchback;5; 5 Doors;5; 5 Seats;45990
Mitsubishi;2021;Triton;USED;Automatic;4;4 cyl;2.4;2.4 L;4 cyl, 2.4 L;4WD;Diesel;50804;Acacia Ridge, QLD;Asia;Ute / Tray;4; 4 Doors;4; 4 Seats;59980
Kia;2021;Cerato;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;62655;Rocklea, QLD;Asia;Sedan;4; 4 Doors;5; 5 Seats;25925
Volkswagen;2021;Tiguan;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;AWD;Diesel;73458;Hendra, QLD;Europe;SUV;4; 4 Doors;7; 7 Seats;47772
Kia;2021;Stinger;USED;Automatic;6;6 cyl;3.3;3.3 L;6 cyl, 3.3 L;Rear;Unleaded;8094;Frankston, VIC;Asia;Sedan;4; 4 Doors;5; 5 Seats;63340
MG;2021;ZST;USED;Automatic;3;3 cyl;1.3;1.3 L;3 cyl, 1.3 L;Front;Unleaded;23102;Pinkenba, QLD;Europe;SUV;5; 5 Doors;5; 5 Seats;26990
MG;2021;HS;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;25642;Browns Plains, QLD;Europe;SUV;4; 4 Doors;5; 5 Seats;23880
Honda;2021;CR-V;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;13038;Oakleigh, VIC;Asia;SUV;4; 4 Doors;7; 7 Seats;46888
